design_id,point_name,tier,config_name,engine,baseline_mode,proposal_budget,time_cap_minutes,workload_name,workload_motif,microarch_name,objective_name,seed,stdout_log,stderr_log,result_log,point_snapshot,search_trace,tech,mm,nn,xx,yy,ss,bb,rr,ff,xcut,ycut,package_type,IO_type,nop_bw,ddr_type,ddr_bw,noc,mac,ul3,tops,cost_overall,energy,cycle,edp,cost,idx,ubuf_energy,buf_energy,bus_energy,mac_energy,NoC_energy,NoP_energy,DRAM_energy,compute_die_area,IO_die_area,total_die_area,cost_chip,cost_package,cost_system_package,cost_soc
paper_core_bootstrap_001,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Joint,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_001/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_001/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_001/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_001/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_001/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,307258.10608,13945983.64992,7726,107746669679.30994,107747854892.67641,75,3620.99080,6724.69720,3265.24000,5010105.15080,2399226.15566,5633075.35434,889966.06112,12.73961,4.55674,17.29635,1.98422,0.59551,68917.59946,307258.10608
paper_core_bootstrap_002,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Stage-wise,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_002/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_002/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_002/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_002/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_002/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,310402.57204,13315562.37308,7566,100745544914.75836,100947237495.67772,167,3620.99080,6724.69720,3265.24000,4787473.15435,2008853.98756,5615658.24205,889966.06112,13.48531,4.55674,18.04205,2.06476,0.62103,71845.73246,310402.57204
paper_core_bootstrap_003,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Package-oblivious,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_003/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_003/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_003/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_003/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_003/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,303351.05656,14347159.86776,7717,110717032699.52193,111161008000.64702,154,3620.99080,6724.69720,3265.24000,6038118.83634,1953564.47913,5480233.87206,861631.75224,11.80210,4.56701,16.36910,1.88403,0.56378,65276.57538,303351.05656
paper_core_bootstrap_004,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Architecture-first,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_004/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_004/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_004/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_004/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_004/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,298898.57384,14587452.58995,7528,109814343097.14992,110474876370.87929,142,3620.99080,6724.69720,3265.24000,5764900.78944,2016056.71581,5860681.24498,932202.91172,11.62316,3.74648,15.36964,1.77549,0.52955,61351.99753,298898.57384
paper_core_bootstrap_005,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Partition-first,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_005/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_005/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_005/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_005/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_005/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,308054.91047,13956539.97782,7726,107828227868.63692,108692471115.00406,137,3620.99080,6724.69720,3265.24000,5385863.03711,2034024.59724,5633075.35434,889966.06112,12.92857,4.55674,17.48531,2.00463,0.60198,69659.58530,308054.91047
paper_core_bootstrap_006,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Cost-interface-first,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_006/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_006/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_006/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_006/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_006/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,308111.09940,14682643.63053,7616,111823013890.12509,112941579498.06801,196,3620.99080,6724.69720,3265.24000,5956153.42227,2369784.91950,5481462.60852,861631.75224,12.50341,4.96701,17.47042,2.00318,0.60147,69601.11719,308111.09940
paper_core_bootstrap_007,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Outer-loop repair,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_007/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_007/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_007/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_007/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_007/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,305472.30446,14244469.10004,7224,102902044778.65506,104137486728.26759,170,3620.99080,6724.69720,3265.24000,5710257.18006,2178581.77561,5480387.46412,861631.75224,12.09139,4.76701,16.85839,1.93699,0.58052,67197.87586,305472.30446
paper_core_bootstrap_008,core_resnext50_os_xsr,paper-core,paper_core_bootstrap,python_native,Memory-off,256,15.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_008/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_008/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_008/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_008/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_008/search_trace.jsonl,12,0,13,6,3,3,1,4,1,2,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,306567.36545,14408128.03241,8312,119760360205.38087,121437364529.33682,171,3620.99080,6724.69720,3265.24000,5250030.94705,2182642.27344,5861844.44810,1099999.43583,13.22803,3.94648,17.17451,1.97068,0.59133,68439.18169,306567.36545
paper_core_bootstrap_009,core_prefill_fo_ucie,paper-core,paper_core_bootstrap,python_native,Joint,256,15.0,long_context_prefill,long_context_prefill,polar,edp,7,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_009/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_009/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_009/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_009/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_009/search_trace.jsonl,7,0,16,8,4,4,1,3,1,2,2,FO,UCIe,16,GDDR6X,131072,32,2048,2048,131072,1306536.45563,57565895540.35748,1461719134,84145170977185792000.00000,84146096574066540544.00000,66,71810969.95258,133363229.91194,1846794.62339,250166703.32311,21896121445.31052,28626612179.46697,6585974217.76896,18.95133,6.30772,25.25905,4.10163,2.05197,983498.96159,1306536.45563
paper_core_bootstrap_010,core_prefill_fo_ucie,paper-core,paper_core_bootstrap,python_native,Stage-wise,256,15.0,long_context_prefill,long_context_prefill,polar,edp,7,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_010/stdout.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_010/stderr.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_010/result.log,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_010/point_snapshot.json,results/raw/20260405_205311_paper_core_bootstrap/paper_core_bootstrap_010/search_trace.jsonl,7,0,16,8,4,4,1,3,1,2,2,FO,UCIe,16,GDDR6X,131072,32,2048,2048,131072,1278318.03977,56045951741.71392,1505928733,84401209096178384896.00000,84570180316788932608.00000,216,71810969.95258,133363229.91194,1846794.62339,272909130.89794,20030210927.21686,28628569436.32909,6907241252.78211,18.67364,5.85058,24.52423,4.00600,1.99453,955614.73971,1278318.03977
