design_id,point_name,tier,config_name,engine,baseline_mode,proposal_budget,time_cap_minutes,workload_name,workload_motif,microarch_name,objective_name,seed,stdout_log,stderr_log,result_log,point_snapshot,search_trace,tech,mm,nn,xx,yy,ss,bb,rr,ff,xcut,ycut,package_type,IO_type,nop_bw,ddr_type,ddr_bw,noc,mac,ul3,tops,cost_overall,energy,cycle,edp,cost,idx,ubuf_energy,buf_energy,bus_energy,mac_energy,NoC_energy,NoP_energy,DRAM_energy,compute_die_area,IO_die_area,total_die_area,cost_chip,cost_package,cost_system_package,cost_soc
paper_full_bootstrap_001,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Joint,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_001/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_001/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_001/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_001/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_001/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,176916.99782,10349951.79959,13680,141587340618.33929,141588898079.08609,471,6891.38464,12798.28576,3265.24000,4575411.59124,4100507.15185,0.00000,1651078.14610,11.16972,2.18409,13.35381,1.48208,0.28474,53169.17942,176916.99782
paper_full_bootstrap_002,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Stage-wise,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_002/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_002/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_002/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_002/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_002/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,177965.37160,10500276.49311,14154,148620913483.42352,148918452552.21735,489,6891.38464,12798.28576,3265.24000,4735550.99693,4090692.43968,0.00000,1651078.14610,11.40338,2.18409,13.58747,1.50745,0.28972,54082.00646,177965.37160
paper_full_bootstrap_003,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Package-oblivious,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_003/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_003/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_003/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_003/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_003/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,174376.60211,11242857.06475,14961,168204384545.65369,168878884127.68176,476,6891.38464,12798.28576,3265.24000,5471191.39065,4097632.61760,0.00000,1651078.14610,10.60353,2.18409,12.78762,1.42063,0.27269,50957.23748,174376.60211
paper_full_bootstrap_004,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Architecture-first,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_004/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_004/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_004/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_004/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_004/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,175401.94276,10988351.66553,14286,156979591893.74591,157923824138.98682,427,6891.38464,12798.28576,3265.24000,5223626.16935,4090692.43968,0.00000,1651078.14610,10.83205,2.18409,13.01614,1.44543,0.27755,51850.00942,175401.94276
paper_full_bootstrap_005,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Partition-first,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_005/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_005/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_005/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_005/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_005/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,182759.88761,10690233.13468,14980,160139692357.43985,161423211991.68475,478,6891.38464,12798.28576,3265.24000,4918567.46058,4097632.61760,0.00000,1651078.14610,12.07196,2.58409,14.65605,1.62363,0.31248,58256.62797,182759.88761
paper_full_bootstrap_006,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Cost-interface-first,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_006/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_006/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_006/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_006/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_006/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,178815.11725,10758864.30854,14981,161178546206.29929,162790815204.00089,425,6891.38464,12798.28576,3265.24000,4987198.63445,4097632.61760,0.00000,1651078.14610,11.59277,2.18409,13.77686,1.52803,0.29376,54821.88646,178815.11725
paper_full_bootstrap_007,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Outer-loop repair,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_007/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_007/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_007/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_007/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_007/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,180424.28779,11408906.16267,14624,166843843722.86182,168846970910.59848,348,6891.38464,12798.28576,3265.24000,5637240.48857,4097632.61760,0.00000,1651078.14610,11.76168,2.37383,14.13550,1.56701,0.30139,56223.00349,180424.28779
paper_full_bootstrap_008,full_cnn_mono_os_xsr,paper-full,paper_full_bootstrap,python_native,Memory-off,512,30.0,cnn_inference,cnn_inference,polar,edp,1,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_008/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_008/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_008/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_008/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_008/search_trace.jsonl,12,0,13,6,3,3,1,4,1,1,1,OS,XSR,16,GDDR6X,73728,16,2048,1024,73728,187488.91273,11261951.89645,15850,178501937558.68564,181001500190.31992,430,6891.38464,12798.28576,3265.24000,5193092.15605,4097632.61760,0.00000,1948272.21239,12.92595,2.78409,15.71004,1.73844,0.33493,62374.22589,187488.91273
paper_full_bootstrap_009,full_prefill_fo_ucie,paper-full,paper_full_bootstrap,python_native,Joint,512,30.0,long_context_prefill,long_context_prefill,polar,edp,7,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_009/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_009/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_009/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_009/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_009/search_trace.jsonl,7,0,16,8,4,4,1,3,1,2,2,FO,UCIe,16,GDDR6X,131072,32,2048,2048,131072,1279619.15592,53984553018.31918,1455003608,78547719417921683456.00000,78548583442835275776.00000,500,71810969.95258,133363229.91194,1846794.62339,272909130.89794,17968812203.82212,28628569436.32909,6907241252.78211,18.70771,5.85058,24.55829,4.01167,1.99734,956907.39074,1279619.15592
paper_full_bootstrap_010,full_prefill_fo_ucie,paper-full,paper_full_bootstrap,python_native,Stage-wise,512,30.0,long_context_prefill,long_context_prefill,polar,edp,7,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_010/stdout.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_010/stderr.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_010/result.log,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_010/point_snapshot.json,results/raw/20260405_205311_paper_full_bootstrap/paper_full_bootstrap_010/search_trace.jsonl,7,0,16,8,4,4,1,3,1,2,2,FO,UCIe,16,GDDR6X,131072,32,2048,2048,131072,1428543.45082,48854732366.76928,1522143969,74363936229186961408.00000,74512812829517791232.00000,505,71810969.95258,133363229.91194,1846794.62339,230923110.75980,14538906741.39359,27291907302.35903,6585974217.76896,21.54042,6.90772,28.44814,4.59699,2.31132,1104514.50441,1428543.45082
