design_id,workload_motif,component,energy,fraction,status
paper_core_bootstrap_001,cnn_inference,buf,6724.697200,0.000482,bootstrap_observed
paper_core_bootstrap_001,cnn_inference,bus,3265.240000,0.000234,bootstrap_observed
paper_core_bootstrap_001,cnn_inference,dram,889966.061120,0.063815,bootstrap_observed
paper_core_bootstrap_001,cnn_inference,mac,5010105.150800,0.359251,bootstrap_observed
paper_core_bootstrap_001,cnn_inference,noc,2399226.155660,0.172037,bootstrap_observed
paper_core_bootstrap_001,cnn_inference,nop,5633075.354340,0.403921,bootstrap_observed
paper_core_bootstrap_001,cnn_inference,ubuf,3620.990800,0.000260,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,buf,133363229.911940,0.002317,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,bus,1846794.623390,0.000032,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,dram,6585974217.768960,0.114408,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,mac,250166703.323110,0.004346,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,noc,21896121445.310520,0.380366,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,nop,28626612179.466969,0.497284,bootstrap_observed
paper_core_bootstrap_009,long_context_prefill,ubuf,71810969.952580,0.001247,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,buf,20236.582910,0.000354,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,bus,9605.120000,0.000168,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,dram,7367467.622400,0.128720,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,mac,13350649.350650,0.233254,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,noc,20071623.703750,0.350679,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,nop,16405968.637130,0.286635,bootstrap_observed
paper_core_bootstrap_017,kv_heavy_decode,ubuf,10896.621570,0.000190,bootstrap_observed
