baseline_mode,workload_motif,winner_design_id,joint_winner_design_id,global_winner_design_id,winner_changed_vs_joint,winner_changed_vs_global,winner_package_class,winner_interface_class,winner_memory_class,winner_edp,status
Architecture-first,cnn_inference,paper_core_bootstrap_004,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,109814343097.149918,bootstrap_observed
Architecture-first,kv_heavy_decode,paper_core_bootstrap_020,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,1926717392803.321045,bootstrap_observed
Architecture-first,long_context_prefill,paper_core_bootstrap_012,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,78755608627002916864.000000,bootstrap_observed
Cost-interface-first,cnn_inference,paper_core_bootstrap_006,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,111823013890.125092,bootstrap_observed
Cost-interface-first,kv_heavy_decode,paper_core_bootstrap_022,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,1914590228056.150635,bootstrap_observed
Cost-interface-first,long_context_prefill,paper_core_bootstrap_014,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,79659678728212234240.000000,bootstrap_observed
Joint,cnn_inference,paper_core_bootstrap_001,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,107746669679.309937,bootstrap_observed
Joint,kv_heavy_decode,paper_core_bootstrap_017,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,2088786920116.351807,bootstrap_observed
Joint,long_context_prefill,paper_core_bootstrap_009,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,84145170977185792000.000000,bootstrap_observed
Memory-off,cnn_inference,paper_core_bootstrap_008,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,119760360205.380875,bootstrap_observed
Memory-off,kv_heavy_decode,paper_core_bootstrap_024,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,2066787175543.547119,bootstrap_observed
Memory-off,long_context_prefill,paper_core_bootstrap_016,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,86127814854630375424.000000,bootstrap_observed
Outer-loop repair,cnn_inference,paper_core_bootstrap_007,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,102902044778.655060,bootstrap_observed
Outer-loop repair,kv_heavy_decode,paper_core_bootstrap_023,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,2119872720898.282227,bootstrap_observed
Outer-loop repair,long_context_prefill,paper_core_bootstrap_015,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,78884064746107060224.000000,bootstrap_observed
Package-oblivious,cnn_inference,paper_core_bootstrap_003,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,110717032699.521927,bootstrap_observed
Package-oblivious,kv_heavy_decode,paper_core_bootstrap_019,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,1915239565218.985352,bootstrap_observed
Package-oblivious,long_context_prefill,paper_core_bootstrap_011,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,85137002417267851264.000000,bootstrap_observed
Partition-first,cnn_inference,paper_core_bootstrap_005,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,107828227868.636917,bootstrap_observed
Partition-first,kv_heavy_decode,paper_core_bootstrap_021,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,1963231287406.778564,bootstrap_observed
Partition-first,long_context_prefill,paper_core_bootstrap_013,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,88905593682735169536.000000,bootstrap_observed
Stage-wise,cnn_inference,paper_core_bootstrap_002,paper_core_bootstrap_001,paper_core_bootstrap_001,false,false,OS,XSR,GDDR6X,100745544914.758362,bootstrap_observed
Stage-wise,kv_heavy_decode,paper_core_bootstrap_018,paper_core_bootstrap_017,paper_core_bootstrap_017,false,false,SI,UCIe,GDDR6X,2059098754016.585938,bootstrap_observed
Stage-wise,long_context_prefill,paper_core_bootstrap_010,paper_core_bootstrap_009,paper_core_bootstrap_009,false,false,FO,UCIe,GDDR6X,84401209096178384896.000000,bootstrap_observed
