baseline_mode,workload_motif,winner_design_id,joint_winner_design_id,global_winner_design_id,winner_changed_vs_joint,winner_changed_vs_global,winner_package_class,winner_interface_class,winner_memory_class,winner_edp,status
Architecture-first,cnn_inference,paper_full_bootstrap_028,paper_full_bootstrap_025,paper_full_bootstrap_025,false,false,SI,USR,GDDR6X,32395562012.998878,bootstrap_observed
Architecture-first,dense_decoder_block,paper_full_bootstrap_044,paper_full_bootstrap_041,paper_full_bootstrap_041,false,false,OS,XSR,GDDR6X,19072395760914528.000000,bootstrap_observed
Architecture-first,kv_heavy_decode,paper_full_bootstrap_020,paper_full_bootstrap_017,paper_full_bootstrap_017,false,false,SI,UCIe,GDDR6X,1926717392803.321045,bootstrap_observed
Architecture-first,long_context_prefill,paper_full_bootstrap_012,paper_full_bootstrap_009,paper_full_bootstrap_009,false,false,FO,UCIe,GDDR6X,75226674943296061440.000000,bootstrap_observed
Architecture-first,megatron_collective_trace,paper_full_bootstrap_060,paper_full_bootstrap_057,paper_full_bootstrap_057,false,false,FO,UCIe,GDDR6X,12576036320248512512.000000,bootstrap_observed
Architecture-first,mixtral_moe_trace,paper_full_bootstrap_052,paper_full_bootstrap_049,paper_full_bootstrap_049,false,false,SI,UCIe,GDDR6X,1982571745835710720.000000,bootstrap_observed
Cost-interface-first,cnn_inference,paper_full_bootstrap_030,paper_full_bootstrap_025,paper_full_bootstrap_025,false,false,SI,USR,GDDR6X,36325008341.022591,bootstrap_observed
Cost-interface-first,dense_decoder_block,paper_full_bootstrap_046,paper_full_bootstrap_041,paper_full_bootstrap_041,false,false,OS,XSR,GDDR6X,20684436717310624.000000,bootstrap_observed
Cost-interface-first,kv_heavy_decode,paper_full_bootstrap_022,paper_full_bootstrap_017,paper_full_bootstrap_017,false,false,SI,UCIe,GDDR6X,1846503303799.805908,bootstrap_observed
Cost-interface-first,long_context_prefill,paper_full_bootstrap_014,paper_full_bootstrap_009,paper_full_bootstrap_009,false,false,FO,UCIe,GDDR6X,79659678728212234240.000000,bootstrap_observed
Cost-interface-first,megatron_collective_trace,paper_full_bootstrap_062,paper_full_bootstrap_057,paper_full_bootstrap_057,false,false,FO,UCIe,GDDR6X,14069168989932445696.000000,bootstrap_observed
Cost-interface-first,mixtral_moe_trace,paper_full_bootstrap_054,paper_full_bootstrap_049,paper_full_bootstrap_049,false,false,SI,UCIe,GDDR6X,2021464189389840640.000000,bootstrap_observed
Joint,cnn_inference,paper_full_bootstrap_025,paper_full_bootstrap_025,paper_full_bootstrap_025,false,false,SI,USR,GDDR6X,28864242703.353828,bootstrap_observed
Joint,dense_decoder_block,paper_full_bootstrap_041,paper_full_bootstrap_041,paper_full_bootstrap_041,false,false,OS,XSR,GDDR6X,18540054420496968.000000,bootstrap_observed
Joint,kv_heavy_decode,paper_full_bootstrap_017,paper_full_bootstrap_017,paper_full_bootstrap_017,false,false,SI,UCIe,GDDR6X,1708254915218.597900,bootstrap_observed
